size,count,type,time_avg,algbw,busbw,cores,algorithm
2097152,1048576,bfloat16,95.2,22.03,41.30,16,allr
4194304,2097152,bfloat16,120.82,34.72,65.09,16,allr
8388608,4194304,bfloat16,142.84,58.73,110.12,16,allr
16777216,8388608,bfloat16,204.55,82.02,153.79,16,allr
33554432,16777216,bfloat16,381.05,88.06,165.11,16,allr
67108864,33554432,bfloat16,724.17,92.67,173.76,16,allr
8192,4096,bfloat16,11.34,0.72,0.68,16,allg
16384,8192,bfloat16,11.38,1.44,1.35,16,allg
32768,16384,bfloat16,11.64,2.81,2.64,16,allg
65536,32768,bfloat16,12.11,5.41,5.07,16,allg
131072,65536,bfloat16,12.97,10.10,9.47,16,allg
262144,131072,bfloat16,15.67,16.73,15.68,16,allg
524288,262144,bfloat16,20.92,25.06,23.49,16,allg
1048576,524288,bfloat16,30.76,34.09,31.96,16,allg
2097152,1048576,bfloat16,50.8,41.28,38.70,16,allg
4194304,2097152,bfloat16,78.91,53.16,49.83,16,allg
8388608,4194304,bfloat16,94.63,88.64,83.10,16,allg
16777216,8388608,bfloat16,139.93,119.90,112.40,16,allg
33554432,16777216,bfloat16,227.72,147.35,138.14,16,allg
67108864,33554432,bfloat16,399.21,168.11,157.60,16,allg
8192,4096,bfloat16,13.26,0.62,0.58,16,redsct
16384,8192,bfloat16,13.39,1.22,1.15,16,redsct
32768,16384,bfloat16,13.68,2.40,2.25,16,redsct
65536,32768,bfloat16,14.13,4.64,4.35,16,redsct
131072,65536,bfloat16,15.01,8.73,8.19,16,redsct
262144,131072,bfloat16,17.42,15.05,14.11,16,redsct
524288,262144,bfloat16,21.24,24.68,23.14,16,redsct
1048576,524288,bfloat16,29.57,35.46,33.24,16,redsct
2097152,1048576,bfloat16,48.04,43.66,40.93,16,redsct
4194304,2097152,bfloat16,75.78,55.35,51.89,16,redsct
8388608,4194304,bfloat16,88.05,95.27,89.31,16,redsct
16777216,8388608,bfloat16,116.06,144.56,135.52,16,redsct
33554432,16777216,bfloat16,221.4,151.55,142.08,16,redsct
67108864,33554432,bfloat16,410.11,163.64,153.41,16,redsct
8192,4096,bfloat16,12.83,0.64,1.24,32,allr
16384,8192,bfloat16,17.6,0.93,1.80,32,allr
32768,16384,bfloat16,20.75,1.58,3.06,32,allr
65536,32768,bfloat16,21.27,3.08,5.97,32,allr
131072,65536,bfloat16,22.49,5.83,11.29,32,allr
262144,131072,bfloat16,26.39,9.93,19.25,32,allr
524288,262144,bfloat16,35.19,14.90,28.87,32,allr
1048576,524288,bfloat16,54.4,19.28,37.35,32,allr
2097152,1048576,bfloat16,92.33,22.71,44.01,32,allr
